CummulativeDistance,Velocity,Acceleration,Battery,EnergyConsumption,Solar,Time
0,1.224210342435175e-05,,100.0,,,0.0
5000,21.804280902847083,0.04754266656901121,100.86449371760683,49.281208199066775,75.69149127195571,458.62527776167906
5000,22.49644712834906,0.003066346770834272,99.92344024606156,66.87796513614765,38.12878158043917,684.3552024021521
5000,22.515000578278787,8.351176412894083e-05,98.98091122850848,67.17345715296233,38.37919566671592,906.5209071174777
5000,22.476327709434113,-0.00017399437380184136,98.07146904990125,67.03801255525545,39.25455399880444,1128.7859608640902
5000,22.017707477271124,-0.002040586474719496,97.26007643615218,65.36339191504753,40.575347565013125,1353.5351875421863
5000,21.962312314994655,-0.00024362803333148622,96.50498448053283,65.02457960397227,41.95652035980149,1580.9111652528325
5000,21.943342444089076,-8.328846028047387e-05,95.78490949187153,64.93947889330985,42.941187989706805,1808.672260147587
5000,21.939283092372783,-1.781350112868898e-05,95.09627454917481,64.91903645628972,43.881238956905555,2036.5528820964958
5000,21.901266687401428,-0.0001666660094594742,94.44366433431458,64.78218002515018,44.844937961169855,2264.652211375744
5000,21.927005022105405,0.00011280667267561339,93.8190894029711,64.86200279055224,45.781238638009015,2492.8154404959764
5000,21.921670435060186,-2.3391457604381017e-05,93.22441467379073,64.85107515964538,46.68376218318578,2720.8725002757797
5000,21.8783545390675,-0.00018972373262562882,92.66685962824272,64.69504858820453,47.66174194671213,2949.1828723796066
5000,21.854252563426286,-0.0001054042231111164,92.14535368417471,64.5957321788534,48.6637255875753,3177.845206106099
5000,21.89790072020644,0.0001909700845993345,91.6486261516631,64.74347909425578,49.568452976025924,3406.4053854228255
5000,21.886178976202412,-5.1322577365325635e-05,91.18185031879658,64.71547096326805,50.45546926919627,3634.798903554033
5000,21.954249325396187,0.00029842332632944667,90.73518211786725,64.95441500088094,51.30870146248961,3862.8988648775257
5000,21.942472587628497,-5.1696018283089595e-05,90.3168950397203,64.93384435471967,52.15517411733037,4090.7063084450347
5000,21.968236843070134,0.00011313267343959924,89.92487830798483,65.02213737100475,53.04602621648636,4318.4411851903615
5000,21.9557365183471,-5.49063930143668e-05,89.5630561433082,64.9855935906571,53.93192645978615,4546.107291754027
